word	female	male	unknown	total	skewness	pct_f	pct_m	chi2	p_value	pmi_f	pmi_m	pmi_u
carater	2309	7331	26	9666	-0.1485225832931207	0.05214897124918129	0.07034158510842449	2550.582609821498	0.0	-0.02073980819759116	0.27851889905818006	-4.214829803501794
social	14969	51793	168	66930	-0.19027015521545507	0.3380762020913793	0.49695835732105165	16399.451921237676	0.0	-0.08660566632650915	0.2986292481257992	-4.283995085809676
aparencia	3681	7725	63	11469	0.0573177698908991	0.08313571380174808	0.07412204951065055	4223.661428216349	0.0	0.27459694586744143	0.1598356196410468	-3.500824785091236
outro	6295	9206	88	15589	0.23357690325363414	0.142173137294758	0.08833237382460181	7675.826099150801	0.0	0.5042503650187097	0.028311448304128913	-3.473540490952721
aparencia_carater	188	719	1	908	-0.23803528248322434	0.004245996792917316	0.006898867779696795	204.76908210327193	1.901827184682297e-46	-0.163742180918401	0.3216385193593764	-5.10780086771954
emo	734	1803	2	2539	-0.021326515861164026	0.016577455563836756	0.01729994242947611	850.4498149906866	5.804644821887184e-187	0.1700436817627802	0.21270318173826172	-5.44293489026298
emo_social	12	53	0	65	-0.3046825679443118	0.00027102107188833934	0.0005085396277106121	11.108757062146895	0.0008592105454642038	-0.2784203852546937	0.3509261838961077	0.0
aparencia_carater_social	35	86	0	121	-0.021476967005127204	0.0007904781263409897	0.000825177509115333	38.613112491373364	5.167061949193421e-10	0.17061775074561558	0.2135782908963897	0.0
carater_social	193	999	4	1196	-0.37481458978553894	0.004358922239537457	0.009585492227979275	196.88820849719698	9.97517435201149e-45	-0.4129875107527487	0.37503838437759923	-3.997000062508933
carater_emo	92	386	0	478	-0.2812188028994314	0.0020778282178106015	0.003703703703703704	99.59536030595812	1.869418814181663e-23	-0.2367619205894729	0.3412481772129977	0.0
aparencia_social	18	36	2	56	0.08126614584954407	0.000406531607832509	0.0003454231433506045	15.050252651452052	0.00010468624243406365	0.27608030201395817	0.11318878796058346	-1.6287609992934504
aparencia_emo	20	79	0	99	-0.2532087678105894	0.0004517017864805655	0.000758011897908271	20.078089887640452	7.434350678501391e-06	-0.18832734172765606	0.3293495425720544	0.0
