word	female	male	total	skewness	pct_f	pct_m	chi2	p
notável	0	2	2	0.0	0.0	0.0	0.0	0.0
inesquecível	0	2	2	0.0	0.0	0.0	0.0	0.0
sacrossanto	0	2	2	0.0	0.0	0.0	0.0	0.0
fecundo	0	2	2	0.0	0.0	0.0	0.0	0.0
responsável	0	1	1	0.0	0.0	0.0	0.0	0.0
competente	0	1	1	0.0	0.0	0.0	0.0	0.0
brilhante	0	1	1	0.0	0.0	0.0	0.0	0.0
perplexo	0	6	6	0.0	0.0	0.0	0.0	0.0
possível	0	2	2	0.0	0.0	0.0	0.0	0.0
quarentona	1	1	2	0.0	0.0	0.0	0.0	0.0
hercúlea	0	2	2	0.0	0.0	0.0	0.0	0.0
cuidadoso	0	1	1	0.0	0.0	0.0	0.0	0.0
vizinho	0	2	2	0.0	0.0	0.0	0.0	0.0
mesmo	0	1	1	0.0	0.0	0.0	0.0	0.0
antigo	0	3	3	0.0	0.0	0.0	0.0	0.0
pobre	0	9	9	0.0	0.0	0.0	0.0	0.0
social	0	2	2	0.0	0.0	0.0	0.0	0.0
agressivo	0	2	2	0.0	0.0	0.0	0.0	0.0
resiliente	0	1	1	0.0	0.0	0.0	0.0	0.0
espanhol	0	2	2	0.0	0.0	0.0	0.0	0.0
protagonista	4	3	7	0.0	0.0	0.0	0.0	0.0
forasteiro	0	4	4	0.0	0.0	0.0	0.0	0.0
menino	3	8	11	0.308641975308642	0.14285714285714285	0.07547169811320754	0.3345492815035756	0.5629925059814009
errante	0	1	1	0.0	0.0	0.0	0.0	0.0
grande	1	2	3	0.0	0.0	0.0	0.0	0.0
velho	1	9	10	0.0	0.0	0.0	0.0	0.0
simples	0	2	2	0.0	0.0	0.0	0.0	0.0
certo	0	1	1	0.0	0.0	0.0	0.0	0.0
viçoso	0	1	1	0.0	0.0	0.0	0.0	0.0
puro	0	1	1	0.0	0.0	0.0	0.0	0.0
saudosista	0	1	1	0.0	0.0	0.0	0.0	0.0
fértil	0	3	3	0.0	0.0	0.0	0.0	0.0
primo	0	1	1	0.0	0.0	0.0	0.0	0.0
rebelde	0	1	1	0.0	0.0	0.0	0.0	0.0
especialista	0	1	1	0.0	0.0	0.0	0.0	0.0
merecedor	0	1	1	0.0	0.0	0.0	0.0	0.0
bonito	0	1	1	0.0	0.0	0.0	0.0	0.0
respeitoso	0	1	1	0.0	0.0	0.0	0.0	0.0
povoado	0	1	1	0.0	0.0	0.0	0.0	0.0
flutuante	0	1	1	0.0	0.0	0.0	0.0	0.0
branco	0	1	1	0.0	0.0	0.0	0.0	0.0
escolar	0	1	1	0.0	0.0	0.0	0.0	0.0
boêmio	0	1	1	0.0	0.0	0.0	0.0	0.0
moreno	0	1	1	0.0	0.0	0.0	0.0	0.0
jovem	0	2	2	0.0	0.0	0.0	0.0	0.0
parisienses	0	1	1	0.0	0.0	0.0	0.0	0.0
pernambucano	0	1	1	0.0	0.0	0.0	0.0	0.0
médico	0	1	1	0.0	0.0	0.0	0.0	0.0
pequeno	0	1	1	0.0	0.0	0.0	0.0	0.0
peculiar	0	1	1	0.0	0.0	0.0	0.0	0.0
primeiro	0	2	2	0.0	0.0	0.0	0.0	0.0
vivo	0	1	1	0.0	0.0	0.0	0.0	0.0
contente	0	1	1	0.0	0.0	0.0	0.0	0.0
cuidado	0	1	1	0.0	0.0	0.0	0.0	0.0
imprestável	0	1	1	0.0	0.0	0.0	0.0	0.0
caçula	2	0	2	0.0	0.0	0.0	0.0	0.0
forte	1	0	1	0.0	0.0	0.0	0.0	0.0
chamado	1	0	1	0.0	0.0	0.0	0.0	0.0
automático	1	0	1	0.0	0.0	0.0	0.0	0.0
verde	1	0	1	0.0	0.0	0.0	0.0	0.0
distinto	1	0	1	0.0	0.0	0.0	0.0	0.0
hábil	1	0	1	0.0	0.0	0.0	0.0	0.0
devido	1	0	1	0.0	0.0	0.0	0.0	0.0
mavioso	1	0	1	0.0	0.0	0.0	0.0	0.0
normalista	1	0	1	0.0	0.0	0.0	0.0	0.0
